female,moth_birthyr,fath_birthyr,married,age,employed,degree,asset_inc,labor_inc,total_wealth,total_income
0,1955.0,,0,42.0,1,0,0,30200,0,30200
1,1973.0,1969.0,0,21.0,1,0,0,4000,0,4000
0,,,0,30.0,1,4,0,70000,0,70000
1,,,0,58.0,1,0,0,74600,0,74600
1,1957.0,1962.0,0,34.0,1,0,0,19200,0,19200
1,1965.0,1964.0,0,33.0,1,2,0,52000,0,52000
0,1980.0,1971.0,0,18.0,7,0,0,9968,0,9968
1,1969.0,1966.0,0,21.0,1,0,0,14400,0,14400
1,,,0,27.0,1,0,0,704,0,704
1,,1986.0,0,18.0,7,0,0,1000,0,1000
1,,,1,41.0,1,0,0,44900,0,44900
1,1980.0,1979.0,0,19.0,7,0,0,8000,0,8000
1,1978.0,1979.0,0,18.0,3,0,0,1524,0,1524
1,1983.0,,0,19.0,7,0,0,16900,0,16900
0,,,0,26.0,3,0,0,49320,0,49320
1,1977.0,,0,18.0,3,0,0,300,0,300
0,1961.0,1959.0,0,28.0,1,1,0,42000,0,42000
0,1970.0,1967.0,0,20.0,1,0,0,18000,0,18000
0,1959.0,1948.0,0,23.0,1,0,0,32000,0,32000
1,1973.0,1964.0,0,18.0,7,0,0,4273,0,4273
1,1981.0,1980.0,0,19.0,1,0,0,14400,0,14400
0,1981.0,1980.0,0,18.0,3,0,0,14400,0,14400
0,1986.0,1980.0,0,18.0,1,0,0,20000,0,20000
1,,,0,69.0,1,0,0,20000,0,20000
0,1954.0,,0,41.0,1,0,0,25000,0,25000
1,,,0,27.0,1,0,0,30000,0,30000
1,1969.0,,0,30.0,0,0,0,400,0,400
0,1969.0,1966.0,0,23.0,1,0,0,20000,0,20000
0,1950.0,1932.0,0,34.0,1,0,0,42682,0,44114
1,1979.0,1976.0,0,19.0,7,0,0,9360,0,9360
1,1978.0,1976.0,0,15.0,0,0,0,2000,0,2000
1,1963.0,1963.0,0,32.0,1,0,0,60000,0,60000
1,1978.0,1979.0,0,18.0,1,0,0,14400,0,14400
1,,,1,53.0,1,0,0,14400,0,14400
0,1964.0,1962.0,0,27.0,3,0,0,23400,0,23400
0,,,1,50.0,6,0,0,18000,0,18000
1,1973.0,1972.0,0,17.0,7,0,0,14400,0,14400
0,1955.0,1956.0,0,38.0,1,0,0,26000,0,26000
1,1982.0,1976.0,0,21.0,7,0,0,13725,0,13725
0,1982.0,1976.0,0,17.0,7,0,0,9000,0,9000
1,1976.0,,1,28.0,1,0,0,10000,0,10000
0,,,1,29.0,1,0,0,12000,0,12000
0,1968.0,1967.0,0,27.0,1,0,0,14400,0,14400
1,1976.0,1972.0,0,19.0,1,0,0,20000,0,20000
1,,,0,55.0,1,0,0,14400,0,14400
0,1954.0,1952.0,0,40.0,7,0,0,20000,0,20000
1,1972.0,1973.0,0,19.0,7,0,0,5000,0,5000
0,1970.0,1969.0,0,22.0,1,0,0,55000,50,55050
0,1979.0,1972.0,0,16.0,7,0,0,1560,0,1560
0,1979.0,1977.0,0,18.0,7,0,0,1600,0,1600
1,1976.0,,0,26.0,0,0,0,14400,0,14400
0,1976.0,1968.0,0,21.0,1,0,0,36000,0,36000
0,1953.0,1957.0,0,34.0,1,0,0,14400,0,14400
0,,1967.0,0,19.0,3,0,0,24480,0,24480
1,1957.0,1953.0,0,38.0,1,2,0,20300,0,20300
0,1958.0,1956.0,0,40.0,1,0,0,40000,0,40000
1,1980.0,1971.0,0,20.0,1,0,0,38403,0,38403
1,1973.0,1979.0,0,21.0,1,0,0,14400,0,14400
0,1980.0,1971.0,0,19.0,3,0,0,6400,0,6400
1,1980.0,1971.0,0,18.0,1,0,0,28800,0,28800
1,1959.0,1959.0,0,34.0,1,2,0,65500,0,65500
1,1959.0,1959.0,0,27.0,1,3,0,65000,0,65000
1,1959.0,1959.0,0,25.0,1,2,0,105000,0,105000
0,,,0,27.0,3,0,0,19386,0,19386
1,1960.0,1953.0,0,22.0,1,2,0,6000,0,6000
1,1966.0,1964.0,0,27.0,1,2,0,14400,0,14400
0,1971.0,1969.0,0,18.0,7,0,0,1872,0,1872
0,,,1,29.0,1,1,0,140400,0,140400
0,,,0,30.0,1,0,0,14400,0,14400
0,1969.0,1966.0,0,24.0,1,2,0,36000,0,36000
0,,,0,25.0,1,0,0,58240,0,58240
0,1971.0,1972.0,0,28.0,1,0,0,18000,0,18000
1,1973.0,1972.0,1,22.0,1,0,0,28850,0,28850
0,1979.0,1979.0,0,18.0,7,0,0,8000,0,8000
0,1979.0,1979.0,0,17.0,7,0,0,8000,0,8000
0,,,1,23.0,1,0,0,32105,0,32105
1,,,0,74.0,4,0,0,14400,0,14400
1,1980.0,,0,24.0,1,0,0,18000,0,18000
1,1958.0,1955.0,1,45.0,0,0,0,20000,0,20000
0,1978.0,1976.0,0,24.0,1,0,0,30000,0,30000
1,1970.0,1970.0,0,24.0,1,0,0,30888,0,30888
1,1978.0,1976.0,0,21.0,7,0,0,20000,0,20000
1,1986.0,1981.0,0,18.0,7,0,0,500,0,500
0,1979.0,1973.0,0,19.0,1,0,0,3800,0,3800
1,1981.0,1983.0,0,19.0,7,0,0,12000,0,12000
0,,,0,58.0,1,0,0,100000,0,100000
1,1979.0,1967.0,0,22.0,1,0,0,28000,0,28000
0,1982.0,1983.0,0,18.0,1,0,0,1000,0,1000
0,1973.0,,0,28.0,1,0,0,14400,0,14400
1,,,0,61.0,1,0,0,41000,0,41000
0,1976.0,1975.0,0,19.0,1,0,0,2360,0,2360
1,1974.0,1971.0,0,17.0,7,0,0,8160,0,8160
0,1974.0,1971.0,0,16.0,7,0,0,9360,0,9360
0,,,0,41.0,1,0,0,3000,0,3000
0,1984.0,,0,18.0,7,0,0,4800,0,4800
1,1975.0,1976.0,0,18.0,7,0,0,1500,0,1500
1,1960.0,1958.0,0,41.0,1,0,0,25000,0,25000
1,1969.0,1968.0,0,22.0,7,2,0,10000,0,10000
1,,,0,62.0,1,0,0,80000,0,80000
0,1978.0,,0,23.0,1,0,0,49760,0,49760
0,1978.0,,0,23.0,1,0,0,35360,0,35360
0,1967.0,1961.0,0,25.0,1,0,0,33280,0,33280
1,1973.0,1972.0,0,20.0,1,0,0,5000,0,5000
1,1970.0,1970.0,0,19.0,7,0,0,1200,0,1200
0,1964.0,1964.0,0,20.0,7,0,0,14400,0,14400
1,1964.0,1964.0,0,19.0,7,0,0,14400,0,14400
1,,,1,70.0,1,0,0,12480,0,12480
0,1937.0,1936.0,0,59.0,1,0,0,5600,0,5600
1,1977.0,1979.0,0,23.0,1,0,0,68640,0,68640
1,1977.0,1979.0,0,19.0,1,0,0,19000,0,19000
1,1977.0,1979.0,0,17.0,7,0,0,9000,0,9000
0,,,0,60.0,1,0,0,14400,0,14400
1,1977.0,1974.0,0,21.0,1,2,0,12100,0,12100
0,1968.0,1970.0,0,29.0,1,0,0,3120,0,3120
0,1984.0,1979.0,0,18.0,1,0,0,14400,0,14400
1,1967.0,1969.0,0,21.0,1,0,0,2190,0,2190
1,1987.0,1980.0,0,19.0,1,0,0,13000,0,13000
0,1981.0,1977.0,0,16.0,7,0,0,1000,0,1000
0,1977.0,1975.0,0,20.0,1,0,0,50000,0,50000
0,1978.0,1973.0,0,19.0,1,0,0,6000,0,6000
0,1974.0,,0,18.0,7,0,0,6000,0,6000
1,,,0,26.0,1,2,0,14500,0,14500
1,1977.0,1972.0,0,19.0,6,0,0,100,0,100
0,1977.0,1976.0,0,23.0,1,2,0,8000,0,8000
0,1977.0,1976.0,0,21.0,7,0,0,3000,0,3000
1,1977.0,1976.0,0,18.0,7,0,0,3000,0,3000
0,,,1,63.0,1,0,0,24960,35,24995
1,1983.0,1976.0,0,17.0,9,0,0,9900,0,9900
0,1983.0,1976.0,0,15.0,0,0,0,4680,0,4680
0,1965.0,1959.0,0,28.0,1,2,0,84000,0,84000
0,1968.0,1973.0,0,25.0,1,0,0,14400,0,14400
1,,,0,35.0,1,0,0,35000,0,35000
1,,,0,30.0,1,0,0,20200,0,20200
0,1970.0,1968.0,0,28.0,1,0,0,32200,0,32200
0,1970.0,1968.0,0,24.0,1,0,0,43193,0,43193
1,1978.0,1980.0,0,17.0,7,0,0,10400,0,10400
1,1980.0,1965.0,0,15.0,0,0,0,525,0,525
0,1963.0,1959.0,0,24.0,1,0,0,10000,0,10000
0,1963.0,1959.0,0,24.0,1,0,0,40000,0,40000
1,,,0,83.0,4,0,0,0,13200,13200
0,1978.0,1978.0,0,21.0,7,1,0,5000,0,5000
0,1982.0,1974.0,0,16.0,1,0,0,400,0,400
0,,,1,48.0,1,0,0,55000,0,55000
0,1976.0,,0,19.0,1,0,0,29000,0,29000
1,,,0,27.0,1,0,0,44000,0,44000
0,1965.0,1958.0,0,30.0,3,0,0,25000,0,25000
0,1982.0,,0,21.0,3,0,0,14400,0,14400
1,1982.0,1980.0,0,20.0,1,0,0,37440,0,37440
0,1980.0,1970.0,0,17.0,1,0,0,3000,0,3000
1,1983.0,1980.0,0,18.0,7,0,0,7000,0,7000
0,1958.0,1957.0,0,30.0,3,0,0,12000,0,12000
0,1980.0,,0,22.0,2,0,0,18720,0,18720
0,1980.0,,0,21.0,1,0,0,13440,0,13440
0,1980.0,,0,19.0,1,0,0,33390,0,33390
1,1984.0,1982.0,0,18.0,1,0,0,6500,0,6500
0,1972.0,1964.0,0,20.0,1,0,0,21000,0,21000
1,1973.0,1976.0,0,16.0,3,0,0,1632,0,1632
1,,1981.0,0,18.0,1,0,0,1000,0,1000
0,1972.0,1972.0,0,17.0,7,0,0,3000,0,3000
1,,,0,22.0,2,0,0,14400,0,14400
0,,,1,69.0,0,0,0,3000,0,3000
1,1965.0,1958.0,0,18.0,7,0,0,2560,0,2560
0,1974.0,1974.0,0,21.0,1,0,0,13,0,13
1,1983.0,1983.0,0,17.0,1,0,0,6750,0,6750
1,,,0,54.0,1,0,0,110000,0,110000
1,,,1,36.0,9,0,0,14700,0,14700
1,1960.0,1959.0,0,22.0,7,2,0,1600,0,1600
0,,1963.0,0,23.0,1,0,0,60000,0,60000
0,,,1,25.0,1,0,0,36000,0,36000
1,1978.0,1978.0,0,19.0,2,0,0,48672,0,48672
1,1962.0,,0,42.0,1,2,0,14400,0,14400
1,,,0,41.0,1,2,0,14400,0,14400
0,1981.0,,0,20.0,1,0,0,14400,0,14400
0,,,0,55.0,5,0,5000,5000,5000,10000
1,1967.0,1970.0,0,26.0,1,2,0,14400,0,14400
1,1967.0,1970.0,0,24.0,1,2,0,19584,0,19584
0,1928.0,1923.0,0,68.0,1,0,0,14400,0,14400
1,1973.0,,0,26.0,1,0,0,65000,0,65000
